word,onyomi,kunyomi,translation,category,level
継,ケイ,つ.ぐ、まま-,inherit; succeed; continue; patch; graft (tree),kanji,n1
障,ショウ,さわ.る,hinder; hurt; harm,kanji,n1
貴,キ,たっと.い、とうと.い、たっと.ぶ、とうと.ぶ,precious; value; prize; esteem; honor,kanji,n1
整,セイ,ととの.える、ととの.う,organize; arranging; tune; tone; meter; key (music),kanji,n1
衆,シュウ、シュ,おお.い,masses; great numbers; multitude; populace,kanji,n1
及,キュウ,およ.ぶ、および、および.び,reach out; exert; exercise; cause,kanji,n1
盛,セイ、ジョウ,も.る、さか.る、さか.ん,boom; prosper; copulate,kanji,n1
玄,ゲン,くろ,mysterious; occultness,kanji,n1
恵,ケイ、エ,めぐ.む,favor; blessing; grace; kindness,kanji,n1
授,ジュ,さず.ける、さず.かる,instruct; impart; grant; confer,kanji,n1
弾,ダン、タン,ひ.く、-ひ.き、はず.む、たま、はじ.く、はじ.ける、ただ.す、はじ.きゆみ,bullet; twang; play stringed instrument; flip; snap,kanji,n1
養,ヨウ、リョウ,やしな.う,foster; bring up; rear; develop; nurture,kanji,n1
驚,キョウ,おどろ.く、おどろ.かす,wonder; be surprised; frightened; amazed,kanji,n1
奈,ナ、ダ,いかん、からなし,Nara; what?,kanji,n1
推,スイ,お.す,conjecture; infer; guess; suppose; support; push (for),kanji,n1
樹,ジュ,き,timber trees; wood,kanji,n1
為,イ,ため、な.る、な.す、す.る、たり、つく.る、なり,do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of,kanji,n1
雄,ユウ,お、おす、おん,masculine; male; hero; leader; superiority; excellence,kanji,n1
刀,トウ,かたな,sword; saber; knife,kanji,n1
弁,ベン,かんむり、わきま.える、わ.ける、はなび、あらそ.う,valve; petal; braid; speech; dialect; discrimination; dispose of; distinguish; conical cap,kanji,n1
妙,ミョウ,たえ,exquisite; strange; queer; mystery; miracle; excellent; delicate; charming,kanji,n1
模,モ、ボ,,imitation; copy; mock,kanji,n1
抗,コウ,あらが.う,confront; resist; defy; oppose,kanji,n1
級,キュウ,,class; rank; grade,kanji,n1
瞬,シュン,またた.く,wink; blink; twinkle,kanji,n1
称,ショウ,たた.える、とな.える、あ.げる、かな.う、はか.り、はか.る、ほめ.る,appellation; praise; admire; name; title; fame,kanji,n1
華,カ、ケ,はな,splendor; flower; petal; shine; luster; ostentatious; showy; gay; gorgeous,kanji,n1
傷,ショウ,きず、いた.む、いた.める,wound; hurt; injure; impair; pain; injury; cut; gash; scar; weak point,kanji,n1
闘,トウ,たたか.う,fight; war,kanji,n1
筋,キン,すじ,muscle; sinew; tendon; fiber; plot; plan; descent,kanji,n1
訳,ヤク,わけ,translate; reason; circumstance; case,kanji,n1
射,シャ,い.る、さ.す、う.つ,shoot; shine into; onto; archery,kanji,n1
善,ゼン,よ.い、い.い、よ.く、よし.とする,virtuous; good; goodness,kanji,n1
黙,モク、ボク,だま.る,silence; become silent; stop speaking; leave as is,kanji,n1
柄,ヘイ,がら、え、つか,design; pattern; build; nature; character; handle; crank,kanji,n1
刑,ケイ,,punish; penalty; sentence; punishment,kanji,n1
節,セツ、セチ,ふし、-ぶし、のっと,node; season; period; occasion; verse; clause; stanza; honor; joint; knuckle; knob; knot; tune; melody,kanji,n1
脱,ダツ,ぬ.ぐ、ぬ.げる,undress; removing; escape from; get rid of; be left out; take off,kanji,n1
厳,ゲン、ゴン,おごそ.か、きび.しい、いか.めしい、いつくし,stern; strictness; severity; rigidity,kanji,n1
博,ハク、バク,,Dr.; command; esteem; win acclaim; Ph.D.; exposition; fair,kanji,n1
陣,ジン,,camp; battle array; ranks; position; sudden; brief time,kanji,n1
奇,キ,く.しき、あや.しい、くし、めずら.しい,strange; strangeness; curiosity,kanji,n1
忠,チュウ,,loyalty; fidelity; faithfulness,kanji,n1
染,セン,そ.める、-ぞ.め、-ぞめ、そ.まる、し.みる、-じ.みる、し.み、-し.める,dye; color; paint; stain; print,kanji,n1
微,ビ,かす.か,delicate; minuteness; insignificance,kanji,n1
標,ヒョウ,しるべ、しるし,signpost; seal; mark; stamp; imprint; symbol; emblem; trademark; evidence; souvenir; target,kanji,n1
縁,エン、-ネン,ふち、ふち.どる、ゆかり、よすが、へり、えにし,affinity; relation; connection; edge; border; verge; brink,kanji,n1
壁,ヘキ,かべ,wall; lining (stomach); fence,kanji,n1
駆,ク,か.ける、か.る,drive; run; gallop; advance; inspire; impel,kanji,n1
麻,マ、マア,あさ,hemp; flax; numb,kanji,n1
甲,コウ、カン、カ,きのえ、かぶと、よろい,armor; high (voice); A grade; first class; former; instep; carapace,kanji,n1
藩,ハン,,clan; enclosure,kanji,n1
迫,ハク,せま.る,urge; force; imminent; spur on,kanji,n1
踏,トウ,ふ.む、ふ.まえる,step; trample; carry through; appraise; evade payment,kanji,n1
討,トウ,う.つ,chastise; attack; defeat; destroy; conquer,kanji,n1
聖,セイ、ショウ,ひじり,holy; saint; sage; master; priest,kanji,n1
典,テン、デン,のり、ふみ,code; ceremony; law; rule,kanji,n1
剣,ケン,つるぎ,sabre; sword; blade; clock hand,kanji,n1
症,ショウ,,symptoms; illness,kanji,n1
納,ノウ、ナッ、ナ、ナン、トウ,おさ.める、-おさ.める、おさ.まる,settlement; obtain; reap; pay; supply; store,kanji,n1
弥,ミ、ビ,いや、や、あまねし、いよいよ、とおい、ひさし、ひさ.しい、わた.る,all the more; increasingly,kanji,n1
融,ユウ,と.ける、と.かす,dissolve; melt,kanji,n1
浜,ヒン,はま,seacoast; beach; seashore,kanji,n1
郷,キョウ、ゴウ,さと,home town; village; native place; district,kanji,n1
惑,ワク,まど.う,beguile; delusion; perplexity,kanji,n1
柳,リュウ,やなぎ,willow,kanji,n1
拠,キョ、コ,よ.る、てん,foothold; based on; follow; therefore,kanji,n1
奉,ホウ、ブ,たてまつ.る、まつ.る、ほう.ずる,observance; offer; present; dedicate,kanji,n1
壊,カイ,こわ.す、こわ.れる、やぶ.る,demolition; break; destroy,kanji,n1
益,エキ、ヤク,ます,benefit; gain; profit; advantage,kanji,n1
句,ク,,phrase; clause; sentence; passage; paragraph; counter for haiku,kanji,n1
属,ゾク、ショク,さかん、つ.く、やから,belong; genus; subordinate official; affiliated,kanji,n1
功,コウ、ク,いさお,achievement; merits; success; honor; credit,kanji,n1
帝,テイ,みかど,sovereign; the emperor; god; creator,kanji,n1
賀,ガ,,congratulations; joy,kanji,n1
堀,クツ,ほり,ditch; moat; canal,kanji,n1
創,ソウ,つく.る、はじ.める、きず、けず.しける,genesis; wound; injury; hurt; start; originate,kanji,n1
泣,キュウ,な.く,cry; weep; moan,kanji,n1
憶,オク,,recollection; think; remember,kanji,n1
幹,カン,みき,tree trunk; main part,kanji,n1
露,ロ、ロウ,つゆ,dew; tears; expose; Russia,kanji,n1
矢,シ,や,dart; arrow,kanji,n1
握,アク,にぎ.る,grip; hold; mould sushi; bribe,kanji,n1
儀,ギ,,ceremony; rule; affair; case; a matter,kanji,n1
聴,チョウ,き.く、ゆる.す,listen; headstrong; naughty; inquire,kanji,n1
襲,シュウ,おそ.う,attack; advance on; succeed to; pile; heap,kanji,n1
徴,チョウ,しるし,indications; sign; omen; symptom; collect; seek; refer to; question,kanji,n1
丁,チョウ、テイ、チン、トウ、チ,ひのと,street; ward; town; counter for guns; tools; leaves or cakes of something; even number; 4th calendar sign,kanji,n1
憲,ケン,,constitution; law,kanji,n1
閣,カク,,tower; tall building; palace,kanji,n1
救,キュウ,すく.う,salvation; save; help; rescue; reclaim,kanji,n1
陰,イン,かげ、かげ.る,shade; yin; negative; sex organs; secret; shadow,kanji,n1
繰,ソウ,く.る,winding; reel; spin; turn (pages); look up; refer to,kanji,n1
那,ナ、ダ,なんぞ、いかん、なに、なんぞ、いかん、なに-,what?,kanji,n1
操,ソウ、サン,みさお、あやつ.る,maneuver; manipulate; operate; steer; chastity; virginity; fidelity,kanji,n1
騒,ソウ,さわ.ぐ、うれい、さわ.がしい,boisterous; make noise; clamor; disturb; excite,kanji,n1
己,コ、キ,おのれ、つちのと、な,self,kanji,n1
魔,マ,,witch; demon; evil spirit,kanji,n1
撮,サツ,と.る、つま.む、-ど.り,snapshot; take pictures,kanji,n1
携,ケイ,たずさ.える、たずさ.わる,portable; carry (in hand); armed with; bring along,kanji,n1
隣,リン,となり,neighboring,kanji,n1
宣,セン,のたま.う、のたま.わく、のべ.る,proclaim; say; announce,kanji,n1
遣,ケン,つか.う、-つか.い、-づか.い、つか.わす,dispatch; despatch; send; give; donate; do; undertake,kanji,n1
訴,ソ,うった.える,accusation; sue; complain of pain; appeal to,kanji,n1
茂,モ,しげ.る,luxuriant; thick; overgrown,kanji,n1
釣,チョウ,つ.る,to fish; angling; lure; entice,kanji,n1
批,ヒ,,criticism; strike,kanji,n1
誘,ユウ,さそ.う,invite; ask; lead; tempt,kanji,n1
核,カク,,nucleus; core; kernel,kanji,n1
哲,テツ,,philosophy; clear,kanji,n1
豪,ゴウ,,powerful; great; strong; Australia,kanji,n1
締,テイ,し.まる、し.める,tighten; bind; constrict,kanji,n1
鹿,ロク,しか、か,deer,kanji,n1
就,シュウ、ジュ,つ.く、つ.ける,concerning; settle; take up,kanji,n1
滅,メツ,ほろ.びる、ほろ.ぼす,destroy; ruin; perish,kanji,n1
仰,ギョウ、コウ,あお.ぐ、おお.せ,look up; depend; respect,kanji,n1
瀬,ライ,せ,rapids; current; shallows,kanji,n1
致,チ,いた.す,do; cause; send,kanji,n1
伏,フク,ふ.せる、ふ.す,prostrated; bend down; lie low,kanji,n1
杉,サン,すぎ,cedar; cryptomeria,kanji,n1
審,シン,,examine; investigate; hearing,kanji,n1
避,ヒ,さ.ける,avoid; evade; shun,kanji,n1
揺,ヨウ,ゆ.れる、ゆ.る、ゆ.らぐ、ゆ.るぐ、ゆ.する、ゆ.さぶる、ゆ.すぶる、うご.く,swing; shake; sway,kanji,n1
浦,ホ,うら,bay; inlet; shore,kanji,n1
至,シ,いた.る,climax; arrive; reach,kanji,n1
裕,ユウ,,abundant; rich; fertile,kanji,n1
盟,メイ,,alliance; oath,kanji,n1
執,シツ、シュウ,と.る,tenacious; take; grasp,kanji,n1
崩,ホウ,くず.れる、くず.す,crumble; collapse; demolish,kanji,n1
鬼,キ,おに、おに-,ghost; devil,kanji,n1
酸,サン,す.い,acid; sour,kanji,n1
拡,カク,ひろ.がる、ひろ.げる、ひろ.める,broaden; expand; enlarge,kanji,n1
銃,ジュウ,,gun; arms,kanji,n1
維,イ,,fiber; tie; rope,kanji,n1
縄,ジョウ,なわ、ただ.す,rope; cord,kanji,n1
詩,シ,,poem; poetry,kanji,n1
廃,ハイ,すた.れる、すた.る,abolish; obsolete; discard,kanji,n1
充,ジュウ,あ.てる、み.たす,allot; fill,kanji,n1
鏡,キョウ、ケイ,かがみ,mirror; speculum,kanji,n1
仮,カ、ケ,かり,temporary; provisional,kanji,n1
吐,ト,は.く,spit; vomit; exhale,kanji,n1
請,セイ、シン,こ.う、う.ける,solicit; invite; ask,kanji,n1
眺,チョウ,なが.める,stare; watch; look at,kanji,n1
沖,チュウ,おき,open sea; offshore,kanji,n1
躍,ヤク,おど.る,leap; dance; skip,kanji,n1
威,イ,おど.す、おど.し,intimidate; dignity; majesty,kanji,n1
屈,クツ,かが.む、こご.む,yield; bend; flinch,kanji,n1
勘,カン,,intuition; perception,kanji,n1
徹,テツ,,penetrate; clear,kanji,n1
斎,サイ,とき、つつし.む,purification; worship,kanji,n1
謝,シャ,あやま.る,apologize; thank; refuse,kanji,n1
艦,カン,,warship,kanji,n1
催,サイ,もよお.す,sponsor; hold; give,kanji,n1
舎,シャ、セキ,,cottage; inn; hut,kanji,n1
仁,ジン、ニ,,humanity; virtue,kanji,n1
衝,ショウ,つ.く,collide; impact,kanji,n1
脚,キャク、キャ、カク,あし,skids; leg; base,kanji,n1
虎,コ,とら,tiger,kanji,n1
潮,チョウ,しお,tide; opportunity,kanji,n1
穴,ケツ,あな,hole; aperture,kanji,n1
怪,カイ、ケ,あや.しい、あや.しむ,suspicious; mystery; apparition,kanji,n1
仙,セン、セン,,hermit; wizard; cent,kanji,n1
輝,キ,かがや.く,radiance; shine; sparkle,kanji,n1
緊,キン,,tense; solid; hard,kanji,n1
唇,シン,くちびる,lips,kanji,n1
忍,ニン,しの.ぶ、しの.ばせる,endure; conceal; spy,kanji,n1
狂,キョウ,くる.う、くる.おしい,lunatic; insane; madness,kanji,n1
奪,ダツ,うば.う,rob; take by force,kanji,n1
診,シン,み.る,checkup; see; diagnose,kanji,n1
竜,リュウ、リョウ、ロウ,たつ,dragon,kanji,n1
債,サイ,,bond; loan; debt,kanji,n1
鈴,レイ、リン,すず,small bell; buzzer,kanji,n1
僧,ソウ,,Buddhist priest; monk,kanji,n1
掲,ケイ,かか.げる,put up (a notice); hang; display,kanji,n1
伯,ハク,,chief; count; uncle,kanji,n1
熊,ユウ,くま,bear,kanji,n1
浪,ロウ,,wandering; wave,kanji,n1
梅,バイ,うめ,plum,kanji,n1
看,カン,,watch over; see,kanji,n1
俊,シュン,,genius; excellence,kanji,n1
摘,テキ,つ.む,pinch; pick; pluck,kanji,n1
項,コウ,,paragraph; nape of neck; clause,kanji,n1
霊,レイ、リョウ,たま,spirits; soul,kanji,n1
垣,エン,かき,hedge; fence,kanji,n1
慢,マン,,ridicule; laziness,kanji,n1
扱,ソウ、キュウ,あつか.う,handle; entertain; thresh,kanji,n1
渉,ショウ,わた.る,ford; ferry; cross,kanji,n1
如,ジョ、ニョ,ごと.し,likeness; like; such as,kanji,n1
縮,シュク,ちぢ.む、ちぢ.まる、ちぢ.める、ちぢ.れる、ちぢ.らす,shrink; contract,kanji,n1
詳,ショウ,くわ.しい、つまび.らか,detailed; full,kanji,n1
旦,タン、ダン,あき.らか、あきら,daybreak; dawn; morning,kanji,n1
慮,リョ,おもんぱく.る、おもんぱか.る,prudence; thought; concern,kanji,n1
雅,ガ、ア,みや.び,gracious; elegant; graceful,kanji,n1
砲,ホウ,,cannon; gun,kanji,n1
謀,ボウ、ム,はか.る、たばか.る,conspire; scheme; plan,kanji,n1
懐,カイ、エ,ふところ、なつ.かしい、なつ.く、なつ.ける、いだ.く、おも.う,pocket; feelings; heart; yearn for,kanji,n1
愚,グ,おろ.か,foolish; folly,kanji,n1
舌,ゼツ,した,tongue; reed; clapper,kanji,n1
駄,ダ,,burdensome; pack horse,kanji,n1
奴,ド,やつ、やっこ,guy; slave; manservant,kanji,n1
豆,トウ、ズ,まめ,beans; pea,kanji,n1
又,ユウ,また,or again; furthermore,kanji,n1
銭,セン、ゼン,ぜに,coin; .01 yen; money,kanji,n1
抑,ヨク,おさ.える,repress; press down,kanji,n1
侍,ジ,さむらい,samurai; wait upon,kanji,n1
宙,チュウ,,mid-air; air; space,kanji,n1
範,ハン,,pattern; example; model,kanji,n1
潜,セン,ひそ.む、もぐ.る,submerge; conceal; hide,kanji,n1
酔,スイ,よ.う,drunk; feel sick,kanji,n1
呂,ロ、リョ,,spine; backbone,kanji,n1
還,カン,かえ.る,send back; return,kanji,n1
丹,タン,に,rust-colored; red; cinnabar,kanji,n1
亜,ア,,Asia; rank next; come after,kanji,n1
亀,キ、キュウ、キン,かめ,tortoise; turtle,kanji,n1
沼,ショウ,ぬま,marsh; lake; bog,kanji,n1
巡,ジュン,めぐ.る,patrol; go around,kanji,n1
臭,シュウ,くさ.い、にお.う,stinking; ill-smelling,kanji,n1
慶,ケイ,,jubilation; congratulate,kanji,n1
距,キョ,,distance,kanji,n1
釈,シャク、セキ,とく、す.てる、ゆる.す,explanation,kanji,n1
侵,シン,おか.す,encroach; invade; raid,kanji,n1
僚,リョウ,,colleague; official,kanji,n1
悟,ゴ,さと.る,enlightenment; perceive,kanji,n1
隆,リュウ,,hump; high; noble,kanji,n1
裂,レツ,さ.く、さ.ける,split; rend; tear,kanji,n1
尋,ジン,たず.ねる、ひろ,inquire; fathom,kanji,n1
旗,キ,はた,national flag; banner,kanji,n1
羅,ラ,,gauze; Rome; arrange,kanji,n1
揮,キ,ふる.う,brandish; command,kanji,n1
票,ヒョウ,,ballot; label; ticket,kanji,n1
稲,トウ、テ,いね、いな-,rice plant,kanji,n1
胞,ホウ,,placenta; sac; sheath,kanji,n1
懸,ケン、ケ,か.ける、か.かる,suspend; hang,kanji,n1
稿,コウ,わら、したがき,draft; copy; manuscript,kanji,n1
塚,チョウ,つか,hillock; mound,kanji,n1
盤,バン,,tray; platter; hard,kanji,n1
災,サイ,わざわ.い,disaster; calamity,kanji,n1
曹,ソウ、ゾウ,,office; official; comrade,kanji,n1
尽,ジン、サン,つ.くす、つ.きる、つ.かす、さかづき、ことごと.く,exhaust; use up; run out,kanji,n1
嫁,カ,よめ、とつ.ぐ,marry into; bride,kanji,n1
繁,ハン,しげ.る,luxuriant; thick; overgrown,kanji,n1
即,ソク,つ.く、つ.ける,instant; namely; agree,kanji,n1
帳,チョウ,とばり,notebook; account book; album,kanji,n1
飾,ショク,かざ.る、かざ.り,decorate; ornament; adorn,kanji,n1
沿,エン,そ.う,run alongside; follow along,kanji,n1
獲,カク,え.る,seize; get; find,kanji,n1
伴,ハン、バン,ともな.う,consort; accompany,kanji,n1
唐,トウ,から,T'ang; China; foreign,kanji,n1
狭,キョウ、コウ、セム,せま.い、せば.める、せば.まる,cramped; narrow; contract,kanji,n1
添,テン,そ.える、そ.う,annexed; accompany,kanji,n1
剤,ザイ,,dose; medicine; drug,kanji,n1
魅,ミ,,fascination; charm,kanji,n1
契,ケイ,ちぎ.る,pledge; vow,kanji,n1
邪,ジャ,よこし.ま,wicked; injustice; wrong,kanji,n1
挑,チョウ,いど.む,challenge; contend for,kanji,n1
免,メン,まぬか.れる、まぬが.れる,excuse; dismissal,kanji,n1
爵,シャク,,baron; peerage; court rank,kanji,n1
択,タク,えら.ぶ,choose; select; elect,kanji,n1
廊,ロウ,,corridor; hall; tower,kanji,n1
析,セキ,,chop; divide; tear,kanji,n1
輩,ハイ,,comrade; fellow; generation,kanji,n1
敏,ビン,さとい,cleverness; agile; alert,kanji,n1
鶴,カク,つる,crane; stork,kanji,n1
虚,キョ、コ,むな.しい,void; emptiness; unpreparedness,kanji,n1
往,オウ,い.く、いにしえ,journey; travel; chase away,kanji,n1
趣,シュ,おもむき、おもむ.く,purport; gist; proceed to,kanji,n1
烈,レツ,はげ.しい,ardent; violent; intense,kanji,n1
索,サク,,cord; rope; search,kanji,n1
匂,ヒョウ,にお.う、にお.い,fragrance; smell,kanji,n1
摩,マ,ま.する、ま.すれる,chafe; rub; polish,kanji,n1
菊,キク,,chrysanthemum,kanji,n1
滑,カツ、コツ、エツ,すべ.る、なめ.らか,slippery; slide; smooth,kanji,n1
沙,サ、シャ,すな、よなげる,sand,kanji,n1
裸,ラ,はだか,naked; nude,kanji,n1
孝,コウ、キョウ,,filial piety,kanji,n1
綱,コウ,つな,hawser; class (genus); rope,kanji,n1
邸,テイ,やしき,residence; mansion,kanji,n1
邦,ホウ,くに,home country; country,kanji,n1
揚,ヨウ,あ.げる、あ.がる,hoist; fry in deep fat,kanji,n1
卓,タク,すぐ.れる,eminent; table; desk,kanji,n1
騎,キ,,equestrian; riding on horses,kanji,n1
墓,ボ,はか,grave; tomb,kanji,n1
姫,キ,ひめ、びめ,princess,kanji,n1
孔,コウ、ク,あな,cavity; hole; slit,kanji,n1
耐,タイ,た.える,proof against; durable,kanji,n1
須,ス、シュ,すべからく、すべし、ひげ、まつ、もと.める,ought; by all means; necessarily,kanji,n1
臨,リン,のぞ.む,look to; face; confront,kanji,n1
献,ケン、コン,たてまつ.る,offering; counter for drinks,kanji,n1
脈,ミャク,すじ,vein; pulse; hope,kanji,n1
芝,シ,しば,turf; lawn,kanji,n1
唱,ショウ,とな.える,chant; recite; call upon,kanji,n1
亭,テイ、チン,,pavilion; restaurant; mansion,kanji,n1
誕,タン,,nativity; be born,kanji,n1
貫,カン,つらぬ.く,pierce; penetrate,kanji,n1
偽,ギ、カ,いつわ.る、にせ、いつわ.り,falsehood; lie; deceive,kanji,n1
奮,フン,ふる.う,stirred up; be invigorated,kanji,n1
桜,オウ、ヨウ,さくら,cherry,kanji,n1
熟,ジュク,う.れる,mellow; ripen; mature,kanji,n1
排,ハイ,,repudiate; exclude; expel,kanji,n1
透,トウ,す.く、す.かす、とう.る、とう.す,transparent; permeate; filter,kanji,n1
棄,キ,す.てる,abandon; throw away; discard,kanji,n1
削,サク,けず.る、はつ.る、そ.ぐ,plane; sharpen; whittle,kanji,n1
奏,ソウ,かな.でる,play music; complete,kanji,n1
幻,ゲン,まぼろし,phantom; vision; illusion,kanji,n1
麗,レイ,うるわ.しい、うら.らか,lovely; beautiful; graceful; resplendent,kanji,n1
逮,タイ,,apprehend; chase,kanji,n1
誠,セイ,まこと,sincerity; honesty; faithfulness,kanji,n1
炎,エン,ほのお,flame; inflammation,kanji,n1
椅,イ,,chair,kanji,n1
寛,カン,くつろ.ぐ,tolerant; leniency; generosity,kanji,n1
斉,セイ、サイ,ひと.しい、そろ.う,equal; simultaneous; all present,kanji,n1
穂,スイ,ほ,ear of grain; crest; point,kanji,n1
兼,ケン,か.ねる,concurrently; combine,kanji,n1
飼,シ,か.う,domesticate; raise animals,kanji,n1
