word,onyomi,kunyomi,translation,category,level
運,ウン,はこ.ぶ,carry; luck; destiny; fate; lot; transport; progress; advance,kanji,n4
銀,ギン,,silver,kanji,n4
言,ゲン、ゴン,い.う、こと,say; word,kanji,n4
歌,カ,うた、うた.う,song; sing,kanji,n4
帰,キ,かえ.る、かえ.す、おく.る、とつ.ぐ,homecoming; arrive at; lead to; result in,kanji,n4
画,ガ、カク、エ、カイ,,brush-stroke; picture,kanji,n4
海,カイ,うみ,sea; ocean,kanji,n4
急,キュウ,いそ.ぐ,hurry; emergency; sudden; steep,kanji,n4
究,キュウ、ク,きわ.める,research; study,kanji,n4
軽,ケイ,かる.い、かろ.やか、かろ.んじる,lightweight,kanji,n4
起,キ,お.きる、お.こる、お.こす、お.こす,rouse; wake up; get up,kanji,n4
考,コウ,かんが.える、かんが.え,consider; think over,kanji,n4
黒,コク,くろ、くろ.ずむ、くろ.い,black,kanji,n4
作,サク、サ,つく.る、つく.り、-づく.り,make; production; prepare; build,kanji,n4
思,シ,おも.う、おもえら.く、おぼ.す,think,kanji,n4
紙,シ,かみ,paper,kanji,n4
仕,シ、ジ,つか.える,attend; doing; official; serve,kanji,n4
死,シ,し.ぬ、し.に-,death; die,kanji,n4
始,シ,はじ.める、-はじ.める、はじ.まる,commence; begin,kanji,n4
姉,シ,あね、はは,elder sister,kanji,n4
字,ジ,あざ、あざな、-な,character; letter; word; section of village,kanji,n4
冬,トウ,ふゆ,winter,kanji,n4
頭,トウ、ズ、ト,あたま、かしら、-がしら、かぶり,head; counter for large animals,kanji,n4
朝,チョウ,あさ,morning; dynasty; regime; epoch; period; (North) Korea,kanji,n4
昼,チュウ,ひる,daytime; noon,kanji,n4
注,チュウ,そそ.ぐ、つ.ぐ,pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate,kanji,n4
体,タイ、テイ,からだ、かたち,body; substance; object; reality; counter for images,kanji,n4
田,デン,た,rice field; rice paddy,kanji,n4
答,トウ,こた.える、こた.え,solution; answer,kanji,n4
肉,ニク,,meat,kanji,n4
番,バン,つが.い,turn; number in a series,kanji,n4
風,フウ、フ,かぜ、かざ-、-かぜ,wind; air; style; manner,kanji,n4
明,メイ、ミョウ、ミン,あ.かり、あか.るい、あか.るむ、あか.らむ、あき.らか、あ.ける、-あ.け、あ.く、あ.くる、あ.かす,bright; light,kanji,n4
野,ヤ、ショ,の、の-,plains; field; rustic; civilian life,kanji,n4
用,ヨウ,もち.いる,utilize; business; service; use; employ,kanji,n4
旅,リョ,たび,trip; travel,kanji,n4
料,リョウ,,fee; materials,kanji,n4
林,リン,はやし,grove; forest,kanji,n4
屋,オク,や,roof; house; shop; dealer; seller,kanji,n4
